Animal type,Country,Weight kg,Body Length cm,Gender,Animal code,Latitude,Longitude,Animal name,Observation date,Data compiled by
lynx,Hungary,23.0,78.0,female,,48.504128,20.568479,,2024-03-02,Anne Anthony
lynx?,Poland,29.0,94.0,male,,52.809851,23.858071,,2024-03-02,Anne Anthony
red squirrel,Germany,0.244,22.0,female,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.299,21.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.284,20.0,female,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.289,20.0,female,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.284,21.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.314,22.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.262,19.0,female,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.258,20.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.297,21.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.255,22.0,female,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.28,22.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.293,22.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.295,20.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.28,20.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.281,20.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.245,21.0,female,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.283,21.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.27,19.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.315,22.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.254,17.0,female,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.249,19.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.298,21.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.314,19.0,female,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.28,20.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.251,19.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.293,20.0,female,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.301,20.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.271,17.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.275,20.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.314,19.0,female,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.304,21.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.308,20.0,male,,,,,2024-03-02,Bob Bobson
red squirrel,Germany,0.24,21.0,male,,,,,2024-03-02,Bob Bobson
European bison,Czech,402.0,162.0,female,,50.641008,14.836529,,2024-03-02,John Johnson
European bison,Czech Republic,535.0,295.0,male,,50.643406,14.836495,,2024-03-02,John Johnson
European buster,Czech Republic,572.0,251.0,female,,50.638945,14.845452,,2024-03-02,John Johnson
hedgehog,Czech Republic,0.9,20.0,female,,50.639869,14.849702,,2024-03-02,John Johnson
hedgehog,Czech Republic,0.7,16.0,female,,50.643039,14.840662,,2024-03-02,John Johnson
hedgehog,Czech Republic,0.7,14.0,female,,50.637879,14.838429,,2024-03-02,John Johnson
hedgehog,Czech Republic,1.1,32.0,male,,50.643254,14.84373,,2024-03-02,John Johnson
hedgehog,Czech Republic,0.5,20.0,male,,50.643854,14.837155,,2024-03-02,John Johnson
hedgehog,Czech Republic,1.1,22.0,female,,50.635584,14.837072,,2024-03-02,John Johnson
hedgehog,Czech Republic,1.0,20.0,female,,50.642723,14.837229,,2024-03-02,John Johnson
hedgehog,Czech Republic,0.7,13.0,female,,50.639389,14.8444,,2024-03-02,John Johnson
lynx,Slovakia,30.0,120.0,male,,48.409308,18.832606,,2024-03-02,John Johnson
red squirrel,Hungry,0.262,20.0,female,,47.510799,18.945583,,2024-03-03,Anne Anthony
,,,,,,,,,2024-03-03,James Johnson
hedgehog,Czech Republic,0.6,20.0,male,,50.637375,14.839785,,2024-03-03,John Johnson
lynx,Slovakia,28.0,131.0,male,,48.406304,18.842851,,2024-03-03,John Johnson
red squirel,Slovakia,0.281,18.0,male,,48.18769,17.086471,,2024-03-03,John Johnson
red squirrel,Hungry,0.262,20.0,female,,47.510799,18.945583,,2024-03-03,Anne Anthony
European bison,Poland,650.0,285.0,female,,52.834741,23.826716,,2024-03-04,Anne Anthony
hedgehog,HU,1.1,24.0,male,,48.503795,20.555932,,2024-03-04,Anne Anthony
hedgehog,Hungary,1.1,26.0,not determined,,48.503062,20.551698,,2024-03-04,Anne Anthony
hedgehog,Hungary,0.8,18.0,female,,48.503498,20.539662,,2024-03-04,Anne Anthony
hedgehog,Hungary,1.2,26.0,male,,48.509298,20.551977,,2024-03-04,Anne Anthony
hedgehog,Poland,0.9,22.0,male,,52.214679,21.033021,,2024-03-04,Anne Anthony
lynx,Hungary,25.0,89.0,male,,48.504169,20.559452,,2024-03-04,Anne Anthony
red squirel,Hungary,0.283,18.0,female,,48.505251,20.551473,,2024-03-04,Anne Anthony
red squirrel,Hungary,0.307,-19.0,male,,,,,2024-03-04,Anne Anthony
red squirrel,Hungary,0.296,22.0,male,,48.502584,20.532518,,2024-03-04,Anne Anthony
red squirrel,Hungary,0.301,18.0,female,,48.505512,20.538038,,2024-03-04,Anne Anthony
red squirrel,Hungary,0.295,17.0,male,,48.50578,20.546466,,2024-03-04,Anne Anthony
red squirrel,Hungry,0.32,18.0,male,,48.502091,20.547521,,2024-03-04,Anne Anthony
red squirrel,Hungary,0.28,19.0,female,,48.505494,20.536362,,2024-03-04,Anne Anthony
red squirrel,Poland,0.33,24.0,male,,52.241203,21.050999,,2024-03-04,Anne Anthony
red squirrel,Poland,0.3,22.0,female,,52.240018,21.05239,Lola,2024-03-04,Anne Anthony
red squirrel,Poland,0.283,17.0,female,,52.239931,21.056703,,2024-03-04,Anne Anthony
red squirrel,Poland,0.341,21.0,male,,52.241856,21.053078,,2024-03-04,Anne Anthony
red squirrel,PL,0.35,24.0,male,,52.240453,21.055847,,2024-03-04,Anne Anthony
red squirrel,Poland,0.291,21.0,,,52.241662,21.05643,,2024-03-04,Anne Anthony
red squirrel,Poland,0.329,22.0,female,,52.241638,21.055998,Lola,2024-03-04,Anne Anthony
red squirrell,HU,0.327,18.0,female,,48.502803,20.548668,,2024-03-04,Anne Anthony
red squirrell,Poland,0.35,24.0,male,,52.240497,21.055991,,2024-03-04,Anne Anthony
hedgehog,Czech Republic,0.6,17.0,male,,50.635501,14.838158,,2024-03-04,John Johnson
hedgehog,Czech Republic,0.9,22.0,female,,50.638142,14.849689,,2024-03-04,John Johnson
red squirrel,Czech Republic,0.289,21.0,female,,49.937872,14.179825,,2024-03-04,John Johnson
red squirrel,Slovakia,0.297,20.0,female,,48.185194,17.083142,,2024-03-04,John Johnson
red squirel,Hungary,0.283,18.0,female,,48.505251,20.551473,,2024-03-04,Anne Anthony
red squirrel,Hungary,0.307,-19.0,male,,,,,2024-03-04,Anne Anthony
red squirrel,Hungary,0.296,22.0,male,,48.502584,20.532518,,2024-03-04,Anne Anthony
red squirrel,Hungary,0.301,18.0,female,,48.505512,20.538038,,2024-03-04,Anne Anthony
red squirrel,Hungary,0.295,17.0,male,,48.50578,20.546466,,2024-03-04,Anne Anthony
red squirrel,Hungry,0.32,18.0,male,,48.502091,20.547521,,2024-03-04,Anne Anthony
red squirrel,Hungary,0.28,19.0,female,,48.505494,20.536362,,2024-03-04,Anne Anthony
red squirrel,Poland,0.33,24.0,male,,52.241203,21.050999,,2024-03-04,Anne Anthony
red squirrel,Poland,0.3,22.0,female,,52.240018,21.05239,Lola,2024-03-04,Anne Anthony
red squirrel,Poland,0.283,17.0,female,,52.239931,21.056703,,2024-03-04,Anne Anthony
red squirrel,Poland,0.341,21.0,male,,52.241856,21.053078,,2024-03-04,Anne Anthony
red squirrel,PL,0.35,24.0,male,,52.240453,21.055847,,2024-03-04,Anne Anthony
red squirrel,Poland,0.291,21.0,,,52.241662,21.05643,,2024-03-04,Anne Anthony
red squirrel,Poland,0.329,22.0,female,,52.241638,21.055998,Lola,2024-03-04,Anne Anthony
red squirrell,HU,0.327,18.0,female,,48.502803,20.548668,,2024-03-04,Anne Anthony
red squirrell,Poland,0.35,24.0,male,,52.240497,21.055991,,2024-03-04,Anne Anthony
lynx,HU,24.0,79.0,male,,48.503043,20.561567,,2024-03-05,Anne Anthony
red squirrel,Poland,0.301,23.0,female,,52.240867,21.054339,,2024-03-05,Anne Anthony
red squirrel,Poland,0.344,20.0,male,,52.240522,21.057552,,2024-03-05,Anne Anthony
red squirrel,Hungary,0.253,-19.0,male,,47.507002,18.950091,,2024-03-05,Anne Anthony
red squirrel,Hungary,0.293,18.0,female,,47.507557,18.942066,,2024-03-05,Anne Anthony
,Austria,0.263,22.0,male,,,,,2024-03-05,Bob Bobson
hedgehog,Czech,0.9,19.0,female,,50.107284,14.346127,,2024-03-05,John Johnson
lynx?,Slovakia,23.0,97.0,female,,48.413226,18.848128,,2024-03-05,John Johnson
red squirel,Slovakia,0.333,23.0,male,,48.409023,18.84399,,2024-03-05,John Johnson
red squirrel,Slovakia,0.32,17.0,male,,48.406733,18.838754,,2024-03-05,John Johnson
red squirrel,Slovakia,0.266,18.0,female,,48.40459,18.846849,,2024-03-05,John Johnson
red squirrel,Slovakia,0.306,22.0,male,,48.408318,18.844383,,2024-03-05,John Johnson
red squirrel,Slovakia,0.311,22.0,male,,48.412458,18.832425,,2024-03-05,John Johnson
red squirrel,Slovakia,0.291,22.0,female,,48.406551,18.837137,,2024-03-05,John Johnson
red squirrell,Slovakia,0.259,19.0,male,,48.405516,18.850994,,2024-03-05,John Johnson
red squirrel,Poland,0.301,23.0,female,,52.240867,21.054339,,2024-03-05,Anne Anthony
red squirrel,Poland,0.344,20.0,male,,52.240522,21.057552,,2024-03-05,Anne Anthony
red squirrel,Hungary,0.253,-19.0,male,,47.507002,18.950091,,2024-03-05,Anne Anthony
red squirrel,Hungary,0.293,18.0,female,,47.507557,18.942066,,2024-03-05,Anne Anthony
European bison,Poland,454.0,225.0,female,,52.834423,23.827103,,2024-03-06,Anne Anthony
hedgehog,Poland,1.1,22.0,female,,52.214521,21.031889,,2024-03-06,Anne Anthony
hedgehog,Poland,0.9,21.0,male,,52.214934,21.032106,,2024-03-06,Anne Anthony
lynx,Hungry,18.0,81.0,female,,48.511532,20.539112,,2024-03-06,Anne Anthony
red squirrel,Poland,0.343,23.0,male,,52.241638,21.057329,,2024-03-06,Anne Anthony
red squirrel,Poland,0.274,22.0,female,,52.241235,21.057356,,2024-03-06,Anne Anthony
hedgehog,Czech Republic,0.6,17.0,female,,50.106942,14.348502,,2024-03-06,John Johnson
hedgehog,Czech Republic,0.4,12.0,female,,50.107223,14.34732,,2024-03-06,John Johnson
hedgehog,Czech Republic,1.1,26.0,male,,50.106379,14.347645,,2024-03-06,John Johnson
hedgehog,Czech Republic,0.8,22.0,male,,50.106579,14.346283,,2024-03-06,John Johnson
red squirrel,Slovakia,0.334,21.0,male,,48.188008,17.085312,,2024-03-06,John Johnson
red squirrell,Slovakia,0.307,23.0,female,,48.185298,17.084072,,2024-03-06,John Johnson
red squirrel,Poland,0.343,23.0,male,,52.241638,21.057329,,2024-03-06,Anne Anthony
red squirrel,Poland,0.274,22.0,female,,52.241235,21.057356,,2024-03-06,Anne Anthony
European bison,Poland,862.0,312.0,male,,52.831879,23.826297,,2024-03-07,Anne Anthony
hedgehog,Hungary,,,female,,48.506206,20.565308,,2024-03-07,Anne Anthony
hedgehog,Hungary,0.5,16.0,male,,48.50509,20.539448,,2024-03-07,Anne Anthony
hedgehog,Hungary,0.8,23.0,female,,48.504425,20.548744,,2024-03-07,Anne Anthony
hedgehog,Hungary,0.7,18.0,female,,48.505617,20.541054,,2024-03-07,Anne Anthony
hedgehog,Hungry,1.2,23.0,male,,48.503254,20.555951,,2024-03-07,Anne Anthony
hedgehog,Hungry,0.5,15.0,male,,48.502359,20.563385,,2024-03-07,Anne Anthony
hedgehog,Hungary,0.6,18.0,female,,48.511048,20.567209,,2024-03-07,Anne Anthony
lynx,Hungary,29.0,109.0,male,,48.501574,20.532455,,2024-03-07,Anne Anthony
lynx,Poland,26.0,85.0,female,,52.808579,23.843768,,2024-03-07,Anne Anthony
red squirrel,HU,0.296,19.0,male,,-2.023546,34.896734,,2024-03-07,Anne Anthony
red squirrel,Hungary,0.3,23.0,male,,48.505406,20.535848,,2024-03-07,Anne Anthony
red squirrel,Hungary,0.286,18.0,female,,48.503917,20.536503,,2024-03-07,Anne Anthony
red squirrel,Poland,0.318,21.0,male,,52.240616,21.054902,,2024-03-07,Anne Anthony
European bison,Czech Republic,716.0,303.0,male,,50.636161,14.846951,,2024-03-07,John Johnson
European bison™,Czech Republic,541.0,212.0,female,,50.642592,14.85014,,2024-03-07,John Johnson
European bisson,Czech Republic,30.0,100.0,female,,50.636423,14.847287,,2024-03-07,John Johnson
ledgehod,Czech Republic,0.7,20.0,female,,50.106607,14.347909,,2024-03-07,John Johnson
ledgehod,Czech Republic,0.7,20.0,female,,50.106925,14.346629,,2024-03-07,John Johnson
ledgehod,Czech Republic,1.2,26.0,male,,50.107284,14.347676,,2024-03-07,John Johnson
red squirrel,Czech Republic,0.273,17.0,female,,49.938634,14.181813,,2024-03-07,John Johnson
red squirrel,HU,0.296,19.0,male,,-2.023546,34.896734,,2024-03-07,Anne Anthony
red squirrel,Hungary,0.3,23.0,male,,48.505406,20.535848,,2024-03-07,Anne Anthony
red squirrel,Hungary,0.286,18.0,female,,48.503917,20.536503,,2024-03-07,Anne Anthony
red squirrel,Poland,0.318,21.0,male,,52.240616,21.054902,,2024-03-07,Anne Anthony
hedgehog,Hungary,1.0,24.0,female,,48.506913,20.540427,,2024-03-08,Anne Anthony
hedgehog,Poland,0.8,19.0,female,,52.214365,21.031462,,2024-03-08,Anne Anthony
red squirrel,Hungary,0.261,19.0,female,,47.507023,18.940532,,2024-03-08,Anne Anthony
hedgehog,Czech Republic,0.8,22.0,male,,50.106811,14.348513,,2024-03-08,John Johnson
hedgehog,Czech Republic,1.1,23.0,male,,50.107278,14.348461,,2024-03-08,John Johnson
red squirrel,Hungary,0.261,19.0,female,,47.507023,18.940532,,2024-03-08,Anne Anthony
European bison,Poland,621.0,277.0,female,,52.828561,23.816861,,2024-03-09,Anne Anthony
European bison,Poland,385.0,168.0,female,,52.833261,23.815203,,2024-03-09,Anne Anthony
hedgehog,Poland,0.6,-19.0,male,,52.21441,21.032484,,2024-03-09,Anne Anthony
hedgehog,Poland,0.8,22.0,female,,52.214452,21.034505,,2024-03-09,Anne Anthony
lynx,Hungary,12.0,61.0,female,,48.508239,20.567914,,2024-03-09,Anne Anthony
lynx,Hungary,23.0,73.0,female,,48.507503,20.551726,,2024-03-09,Anne Anthony
lynx,PL,20.0,95.0,female,,52.814984,23.840681,,2024-03-09,Anne Anthony
lynx,Poland,18.0,63.0,male,,52.812647,23.863299,,2024-03-09,Anne Anthony
red squirrel,Poland,0.302,22.0,male,,52.241375,21.050845,,2024-03-09,Anne Anthony
red squirrell,Hungary,0.284,20.0,female,,47.50938,18.949607,,2024-03-09,Anne Anthony
hedgehog,Czech Republic,0.9,22.0,female,,50.106583,14.346471,,2024-03-09,John Johnson
hedgehog,Czech Republic,1.1,23.0,male,,50.10696,14.346126,,2024-03-09,John Johnson
hedgehog,Czech Republic,0.6,19.0,male,,50.106311,14.346906,,2024-03-09,John Johnson
red squirrel,Czech Republic,0.293,19.0,male,,49.937416,14.181449,,2024-03-09,John Johnson
red squirrel,Poland,0.302,22.0,male,,52.241375,21.050845,,2024-03-09,Anne Anthony
red squirrell,Hungary,0.284,20.0,female,,47.50938,18.949607,,2024-03-09,Anne Anthony
hedgehog,Hungary,0.9,20.0,female,,48.51108,20.567192,,2024-03-10,Anne Anthony
hedgehog,Hungary,0.9,21.0,male,,48.50529,20.566169,,2024-03-10,Anne Anthony
hedgehog,Hungary,1.1,26.0,male,,48.502486,20.562565,,2024-03-10,Anne Anthony
lynx,Hungary,23.0,77.0,female,,48.509272,20.551952,,2024-03-10,Anne Anthony
lynx,Hungry,15.0,71.0,male,,48.50118,20.557432,,2024-03-10,Anne Anthony
hedgehog,Czech Republic,0.8,17.0,male,,49.938707,14.182507,,2024-03-10,John Johnson
hedgehog,Czech Republic,0.5,18.0,female,,49.937531,14.180359,,2024-03-10,John Johnson
hedgehog,Czech Republic,0.7,17.0,female,,49.93789,14.180882,,2024-03-10,John Johnson
hedgehog,Czech Republic,0.5,15.0,female,,49.93734,14.18071,,2024-03-10,John Johnson
European bison,Poland,24.0,100.0,female,,52.834112,23.825722,,2024-03-11,Anne Anthony
hedgehog,Hungary,0.9,19.0,female,,48.505634,20.543417,,2024-03-11,Anne Anthony
hedgehog,Poland,0.8,16.0,female,,52.214968,21.030987,,2024-03-11,Anne Anthony
lynx,Hungary,20.0,90.0,female,,48.501938,20.567814,,2024-03-11,Anne Anthony
red squirel,Hungary,0.322,21.0,male,,48.506217,20.545055,,2024-03-11,Anne Anthony
red squirrel,HU,0.282,21.0,male,,-2.023546,34.896734,,2024-03-11,Anne Anthony
red squirrel,Hungary,0.311,22.0,female,,48.505737,20.546731,,2024-03-11,Anne Anthony
red squirrel,Hungary,0.336,22.0,female,,48.506095,20.543032,,2024-03-11,Anne Anthony
red squirrel,Hungary,0.29,21.0,male,,48.506429,20.543875,,2024-03-11,Anne Anthony
red squirrel,Hungary,0.293,20.0,male,,48.50586,20.547649,,2024-03-11,Anne Anthony
red squirrel,Hungary,0.335,19.0,female,,48.502521,20.558578,,2024-03-11,Anne Anthony
red squirrel,Hungary,0.339,19.0,female,,48.503752,20.558664,,2024-03-11,Anne Anthony
red squirrel,Poland,0.304,22.0,,,52.241093,21.055413,,2024-03-11,Anne Anthony
red squirel,Czech Republic,0.271,18.0,male,,49.937391,14.179566,,2024-03-11,John Johnson
red squirel,Hungary,0.322,21.0,male,,48.506217,20.545055,,2024-03-11,Anne Anthony
red squirrel,HU,0.282,21.0,male,,-2.023546,34.896734,,2024-03-11,Anne Anthony
red squirrel,Hungary,0.311,22.0,female,,48.505737,20.546731,,2024-03-11,Anne Anthony
red squirrel,Hungary,0.336,22.0,female,,48.506095,20.543032,,2024-03-11,Anne Anthony
red squirrel,Hungary,0.29,21.0,male,,48.506429,20.543875,,2024-03-11,Anne Anthony
red squirrel,Hungary,0.293,20.0,male,,48.50586,20.547649,,2024-03-11,Anne Anthony
red squirrel,Hungary,0.335,19.0,female,,48.502521,20.558578,,2024-03-11,Anne Anthony
red squirrel,Hungary,0.339,19.0,female,,48.503752,20.558664,,2024-03-11,Anne Anthony
red squirrel,Poland,0.304,22.0,,,52.241093,21.055413,,2024-03-11,Anne Anthony
European bisson,Poland,315.0,175.0,male,,52.829512,23.811681,,2024-03-12,Anne Anthony
red squirrel,Poland,0.316,24.0,male,,52.240707,21.057051,,2024-03-12,Anne Anthony
red squirrel,Hungry,,,female,,47.508454,18.949343,,2024-03-12,Anne Anthony
hedgehog,Czech Republic,0.6,20.0,male,,49.938169,14.178703,,2024-03-12,John Johnson
hedgehog,Czech,0.4,17.0,male,,49.938527,14.179315,,2024-03-12,John Johnson
red squirrel,Czech Republic,0.324,23.0,female,,49.937724,14.182072,,2024-03-12,John Johnson
red squirrel,Poland,0.316,24.0,male,,52.240707,21.057051,,2024-03-12,Anne Anthony
red squirrel,Hungry,,,female,,47.508454,18.949343,,2024-03-12,Anne Anthony
hedgehog,Hungary,0.6,14.0,female,,48.506262,20.547343,,2024-03-13,Anne Anthony
hedgehog,Poland,0.8,24.0,male,,52.214734,21.031915,,2024-03-13,Anne Anthony
lynx?,Hungary,20.0,86.0,male,,48.504717,20.558726,,2024-03-13,Anne Anthony
red squirrel,Poland,0.36,23.0,female,,52.24151,21.052575,Basia,2024-03-13,Anne Anthony
red squirrel,Hungary,0.26,18.0,male,,47.505768,18.943674,,2024-03-13,Anne Anthony
red squirrel,Germany,0.335,18.0,male,,48.161549,11.493041,Bob Bobson,2024-03-13,Bob Bobson
hedgehog,Czech Republic,0.6,15.0,female,,49.939297,14.181453,,2024-03-13,John Johnson
red squirel,Slovakia,0.288,18.0,female,,48.185953,17.08393,,2024-03-13,John Johnson
red squirrel,Poland,0.36,23.0,female,,52.24151,21.052575,Basia,2024-03-13,Anne Anthony
red squirrel,Hungary,0.26,18.0,male,,47.505768,18.943674,,2024-03-13,Anne Anthony
European bison,Poland,610.0,258.0,female,,52.821135,23.809947,,2024-03-14,Anne Anthony
hedgehog,Hungary,0.7,21.0,female,,48.509199,20.552447,,2024-03-14,Anne Anthony
hedgehog,Poland,1.0,21.0,female,,52.213985,21.030841,,2024-03-14,Anne Anthony
hedgehog,PL,0.8,15.0,female,,52.213877,21.030861,,2024-03-14,Anne Anthony
red squirrel,Poland,0.32,21.0,female,,52.241309,21.057247,,2024-03-14,Anne Anthony
red squirrell,Hungary,0.287,23.0,female,,47.508679,18.946127,,2024-03-14,Anne Anthony
hedgehog,Australia,0.8,24.0,not determined,,47.781689,14.386777,,2024-03-14,Bob Bobson
hedgehog,Austria,0.7,19.0,female,,47.781139,14.382004,,2024-03-14,Bob Bobson
hedgehog,Austria,0.8,20.0,male,,47.781828,14.385001,,2024-03-14,Bob Bobson
hedgehog,Austria,0.6,14.0,female,,47.78106,14.386807,,2024-03-14,Bob Bobson
hedgehog,Austria,0.7,24.0,male,,47.780872,14.38446,,2024-03-14,Bob Bobson
hedgehog,Austria,0.8,21.0,female,,47.781117,14.38608,,2024-03-14,Bob Bobson
lynx,Austria,22.0,80.0,female,,47.780779,14.384918,,2024-03-14,Bob Bobson
lynx,Austria,23.0,86.0,male,,47.781257,14.383099,,2024-03-14,Bob Bobson
hedgehog,Czech Republic,0.9,16.0,female,,49.93849,14.1802,,2024-03-14,John Johnson
red squirrel,Poland,0.32,21.0,female,,52.241309,21.057247,,2024-03-14,Anne Anthony
red squirrell,Hungary,0.287,23.0,female,,47.508679,18.946127,,2024-03-14,Anne Anthony
